CODE_AGENCE;LIB_AGENCE;longitude;lattitude;code_dir
1;Thala;5.069317;36.750500;892
2;Soliman;103.53139;18.69833;885
3;Degueche;10.1285888;36.8214016;887
4;Beni Khiar;10.7737291;36.5229026;885
5;TunisHilton;-86.774352;36.162135;882
6;Kairouan Medina;-81.86375;41.13839;893
7;Beni Khalled;10.59004;36.65038;885
8;Bouarada;9.630012;36.351596;713
9;Sbikha;10.02081;35.93325;893
10;AvParis;2.3488;48.85341;891
11;Beja;9.1962699;36.7274241;711
12;Bizerte;9.795668;37.1551658;883
13;Djerba;10.85745;33.87576;712
14;Kairouan;10.09633;35.6781;893
15;Kef;8.70486;36.17424;884
16;Mahdia; -68.4259912;-31.9810634;890
17;Mateur;9.66557;37.04045;883
18;Medjez El Bab;9.6393601;36.7101084;711
19;Sfax;8.8455896;35.1734533;888
20;Sousse;10.5956621;35.8365217;886
21;Bousalem;8.78024;36.50114;894
22;Tabarka;9.0736638;36.975004;894
23;Teboursouk;9.24751;36.45692;711
24;Jendouba;8.7786054;36.5014137;894
25;Zarzis;11.11215;33.50398;712
26;Gabes;8.9504095;34.3379153;889
27;Nabeul;10.7803203;36.4687366;885
28;Tunis A;10.1778717;36.8057073;882
29;Tunis B;10.1778717;36.8057073;882
30;Grombalia;10.550179;36.5341696;885
31;Siliana;9.37082;36.08497;713
32;Pont du Fahs;9.90651;36.37419;882
33;Kasserine;8.8455896;35.1734533;892
34;Gafsa;8.7901219;34.4179953;887
35;Ben Guerdane;11.20743;32.89938;712
36;Mednine;10.50548;33.35495;712
37;Ml Bourguiba;9.78594;37.15368;883
38;Lagoulette;10.3010529;36.8530151;882
39;Kebili;8.9732998;33.7041694;887
40;Tozeur;8.1118241;33.913485;887
41;Lafayette;-86.87529;40.4167;891
42;Monastir;10.8922186;35.6416276;890
43;Sidi Bouzid;9.4899807;35.0381821;892
44;Tunis Port;10.7632163;34.7145343;882
45;Sfax Hached;10.1276645;36.8077428;888
46;El Jem ;10.7078418;35.2922501;890
47;Ariana;10.2074851;36.858162;891
48;AvLondres;10.16579;36.81897;891
49;Ras Djebel;10.16579;36.81897;883
50;InterTunisia;9;34;882
51;Testour;9.44307;36.5513;711
52;Dahmani;10.1043912;36.833955;884
53;Sers;9.02117;36.0764;713
54;Makthar;9.20072;35.85798;713
55;Kssour Essaf ;10.99475;35.41808;890
56;Msaken;10.58082;35.72917;886
57;Nefza;9.0736638;36.975004;711
58;Moknine;10.8922186;35.6416276;890
59;Hammamet;10.6121172;36.4003577;885
60;Jemmal;10.75696;35.62231;890
61;MlTemime;10.9875;36.78222;885
62;Tebourba;9.7598727;36.8737303;891
64;Sbeitla;9.0575954;35.2422672;892
65;Kalaa Kebira;10.53722;35.87278;886
66;Ben Arous;10.2093619;36.7345919;882
67;Tajerouine;8.55276;35.89174;884
68;Kelibia;11.09386;36.84757;885
69;Haffouz;9.67624;35.63235;893
70;Mornag;10.285871;36.6827689;882
71;Zaghouan;10.1484901;36.4002093;882
72;Mornaguia;10.16579;36.81897;891
73;Meknassy;10.16579;36.81897;892
74;Tataouine;10.45177;32.92967;712
75;Korba;10.860886;36.5770051;885
76;MlBouzelfa;10.5849729;36.6791717;885
77;Enfidha;10.3798597;36.1347897;886
78;Souassi;10.16579;36.81897;890
79;Bouhajla;9.599476;35.4166;893
80;Chebba;11.115;35.23722;890
81;Sahline;10.71109;35.75166;890
82;Mahres;10.4984421;34.5218412;888
83;SousseRepublique;10.6199213;35.7900994;886
84;Gaafour;9.3301033;36.2531743;713
85;Feriana;-86.78444;36.16589;892
86;Matmata;9.8060057;33.4663251;889
87;Mhamdia;10.16579;36.81897;882
88;Sfax Port;10.7632163;34.7145343;888
89;Bir El Hafay;9.2841898;34.874995;892
90;Sakiet Eddaier;10.7795758;34.7876832;888
91;El Haouaria;11.0124474;37.0480645;885
92;Ezzahra;10.3060779;36.7273975;882
93;Krib;9.1261435;36.3483437;713
94;Sfax Nord ;10.7647862;34.7299181;888
95;HammamSousse;10.5934752;35.8748634;886
96;Sbiba;9.1695368;35.4957796;892
97;Ain Draham;8.6879509;36.7774877;894
