COD_DD;LIB_DD;longitude;lattitude
711;DIR.REG.BEJA;9.25;36.66667
712;D.REG MEDENINE;10.50548;33.35495
713;DIR.REG.SILIANA;9.33333;36
882;DIR.REG.DE TUNIS II;8.6915369;36.154258
883;DIR.REG.BIZERTE;9.8759989;37.2725396
884;DIR.REG.KEF;8.6915369;36.154258
885;DIR.REG.NABEUL;10.7391186;36.4561773
886;DIR.REG.SOUSSE;10.6347844;35.8200251
887;DIR.REG.GAFSA;8.7888355;34.4206426
888;DIR.REG.SFAX;10.7587632;34.7438911
889;DIR.REG.GABES;10.0982;33.88146
890;DIR.REG.MONASTIR;10.82617;35.77799
891;DIR.REG.DE TUNIS I;8.6915369;36.154258
892;DIR.REG.KASSERINE;8.840577;35.1708287
893;DIR.REG.KAIROUAN;10.09633;35.6781
894;DIR.REG.JENDOUBA;8.78024;36.50114
